Total frames 550
Number of Targets 18
Target 1 (frames from 1 to 115)
Bounding Boxes (frame, x, y, width, height)
1	541	397	45	91
2	541	396	46	92
3	542	396	47	94
4	542	395	47	95
5	542	394	47	95
6	543	394	48	96
7	543	393	48	97
8	544	393	49	98
9	544	392	49	98
10	545	392	49	99
11	546	391	49	99
12	547	391	49	99
13	548	390	49	99
14	549	390	50	100
15	550	389	50	100
16	550	389	50	100
17	551	389	50	101
18	552	389	50	101
19	553	389	50	101
20	554	390	51	102
21	555	390	51	102
22	556	390	51	102
23	557	391	51	103
24	558	392	51	103
25	560	392	52	104
26	561	393	52	104
27	563	393	52	104
28	565	393	52	105
29	567	393	52	105
30	569	393	52	105
31	571	393	52	105
32	574	393	52	105
33	576	393	53	106
34	578	393	53	106
35	581	393	53	106
36	583	393	53	106
37	586	393	53	106
38	588	393	53	106
39	591	394	53	106
40	593	394	53	106
41	596	395	53	107
42	599	395	53	107
43	601	396	53	107
44	604	396	53	107
45	607	396	53	107
46	610	396	53	107
47	613	395	54	108
48	615	395	54	108
49	618	394	54	108
50	620	394	54	109
51	623	394	54	109
52	625	393	55	110
53	627	393	55	110
54	629	393	55	111
55	630	394	56	112
56	632	394	56	112
57	634	395	56	113
58	636	395	57	114
59	638	396	57	114
60	640	397	57	115
61	643	397	57	115
62	645	398	58	116
63	647	398	58	116
64	650	398	58	116
65	653	398	58	117
66	655	398	58	117
67	658	398	58	117
68	661	398	58	117
69	664	398	58	117
70	666	398	58	117
71	669	398	58	117
72	671	398	58	117
73	672	398	59	118
74	674	399	59	118
75	676	399	59	118
76	678	400	59	119
77	680	400	59	119
78	683	401	59	119
79	686	401	60	120
80	688	401	60	120
81	691	401	60	120
82	693	401	60	121
83	695	400	60	121
84	697	400	61	122
85	699	399	61	122
86	701	398	61	123
87	702	397	62	124
88	703	395	62	125
89	703	394	63	126
90	703	393	63	127
91	702	392	64	129
92	702	391	65	130
93	702	390	66	132
94	701	389	67	134
95	701	388	68	136
96	701	387	68	137
97	701	386	69	139
98	701	384	70	140
99	701	383	70	141
100	701	381	71	142
101	701	380	71	143
102	701	378	71	143
103	701	377	71	143
104	700	375	72	144
105	701	374	72	144
106	701	372	72	145
107	701	370	73	147
108	702	369	74	148
109	703	367	75	150
110	704	365	76	152
111	705	363	77	155
112	706	361	78	157
113	707	359	80	160
114	708	358	81	163
115	710	356	83	166
3D Trajetory (frame, x, z, height, pose)
1	-1.59	10.03	1.82	2.00
2	-1.59	9.92	1.83	2.00
3	-1.60	9.81	1.84	2.00
4	-1.59	9.69	1.86	2.00
5	-1.58	9.57	1.89	2.00
6	-1.59	9.65	1.90	2.00
7	-1.59	9.73	1.91	2.00
8	-1.55	9.67	1.90	2.00
9	-1.51	9.60	1.89	2.00
10	-1.48	9.54	1.89	2.00
11	-1.45	9.47	1.88	2.00
12	-1.42	9.36	1.88	2.00
13	-1.38	9.25	1.87	2.00
14	-1.38	9.34	1.88	2.00
15	-1.37	9.44	1.89	2.00
16	-1.35	9.44	1.90	2.00
17	-1.32	9.45	1.90	2.00
18	-1.29	9.41	1.90	2.00
19	-1.27	9.37	1.90	2.00
20	-1.22	9.30	1.90	2.00
21	-1.17	9.23	1.89	2.00
22	-1.14	9.17	1.89	2.00
23	-1.11	9.11	1.89	2.00
24	-1.07	9.09	1.89	2.00
25	-1.02	9.06	1.89	1.00
26	-0.99	9.03	1.89	1.00
27	-0.96	9.00	1.89	1.00
28	-0.92	8.98	1.88	1.00
29	-0.88	8.97	1.88	1.00
30	-0.84	8.94	1.88	1.00
31	-0.80	8.91	1.88	2.00
32	-0.74	8.91	1.88	2.00
33	-0.69	8.91	1.88	2.00
34	-0.65	8.88	1.88	2.00
35	-0.61	8.84	1.88	1.00
36	-0.56	8.83	1.88	1.00
37	-0.51	8.82	1.88	2.00
38	-0.46	8.84	1.88	2.00
39	-0.42	8.85	1.88	2.00
40	-0.38	8.85	1.88	2.00
41	-0.33	8.84	1.88	2.00
42	-0.28	8.82	1.88	2.00
43	-0.23	8.80	1.88	1.00
44	-0.18	8.76	1.88	1.00
45	-0.12	8.72	1.88	1.00
46	-0.06	8.73	1.88	1.00
47	0.00	8.74	1.88	1.00
48	0.05	8.73	1.88	1.00
49	0.09	8.71	1.88	2.00
50	0.15	8.65	1.88	2.00
51	0.21	8.60	1.88	2.00
52	0.25	8.56	1.88	2.00
53	0.30	8.52	1.88	2.00
54	0.34	8.45	1.88	2.00
55	0.39	8.39	1.88	2.00
56	0.43	8.35	1.88	2.00
57	0.47	8.31	1.88	2.00
58	0.51	8.26	1.88	2.00
59	0.54	8.22	1.88	2.00
